to upload;téléverser (si! le contraire de télécharger!);True
usb stick;clé USB;True
user-friendly;convivial, ergonomique;True
utility;service public (un);False
vectored;vectorisé;False
versatile;polyvalent, adaptable;True
via;à travers;False
virtual terminal;appareil virtuel;False
voltage drop;chute de tension;False
voltage surge;surtension;False
voltage;tension;True
wait;attente;True
to waste;gaspiller;True
waste;déchets;False
wave;onde;True
web;toile;False
wide;large;False
Wide Area Network;réseau longues distances;False
width;largeur;True
winding;bobinage;False
wire;fil (élec.);True
to wire;câbler / faire le montage électrique de;True
wireless;sans fil;True
to withdraw;retirer;False
word processor;traitement de texte;True
workshop;atelier;True
workstation;poste de travail;True
wrapping;connexion par enroulement;False
Xtal;cristal, quartz;False
to yield;rapporter (rendement), produire/ céder;True
WYSIWYG (= What You See Is What You Get);tel ecran-tel écrit (interface intuitive);False
