to bind (bound, bound);lier, attacher;False
bitmap;point par point (format de dessin);False
block diagram;schéma fonctionnel;False
bold (character);gras;False
bookmark;un signet, un marque page;True
to boost;amplifier, suralimenter;True
to boot;amorcer, initialiser (système), démarrer;True
both;tous les deux (sans exception);True
both-way communication;bidirectionnel simultané (mode);False
bounce;rebond;False
bps = bits per second;bits par seconde;False
to break/broke/broken;interrompre/ casser;True
breakdown;panne, claquage;True
to break down;tomber en panne;True
breaker;disjoncteur;False
broadband;à large bande, à haut débit;True
to broadcast;émettre, diffuser;True
to browse;parcourir, naviguer;True
browser;logiciel de navigation, navigateur;True
buffer storage / memory;mémoire tampon;False
bug;erreur;True
bundle;paquet, lot, bouquet;True
built-in;incorporé;True
to burn;graver;True
business intelligence;veille économique;False
busy;occupé;True
bypass;déviation, shunt;True
byte;octet;True
C.V. (GB), résumé (US);C.V.;False
cache (memory/storage);mémoire cache;False
calibration;étalonnage;False
to cancel;annuler;True
capability;capacité, contenance;False
to carry out;effectuer, réaliser;True
to carry;porter;True
case;boîtier, unité centrale;True
to cause somebody to do something;provoquer, être la cause de;True
cell;une cellule;True
channel;canal, une voie de transmission;True
character;un caractère;False
to check;vérifier;True
checkbox;une case à cocher;False
checksum;total de contrôle;False
chip;puce;True
chip socket;support de circuit intégré;False
chunk;un morceau;False
circuit switched connection;liaison commutée;False
circuit switching;commutation de circuit;False
to clear;remettre à zéro, effacer;True
clear-to-send;autorisation d'émettre;False
clock rates;vitesse d'horlog;False
