to dedicate;affecter à, dédier à;True
dedicated line;liaison spécialisée;False
delay time;temps de retard;False
to delete;supprimer;True
deletion;suppression;False
to deliver;développer, fournir/ livrer;True
demodulation;démodulation;False
to deny;refuser;True
to design;créer/ concevoir, construire;True
design;conception, étude;True
desktop computer, desktop;ordinateur de bureau (pas portable);False
to develop;mettre au point;False
device;appareil, dispositif;True
dial;cadran;False
to dial;composer(un n° , une combinaison);True
digital;numérique;True
digital-to-analog decoder;un décodeur analogique-numérique;False
direct current (DC);courant continu;False
directory;répertoire;True
to disable;inhiber, désactiver;True
disk drive;lecteur de disquette;True
to display;afficher;True
display;affichage;True
dotcom;une entreprise en ligne;True
to download;télécharger;True
to downsize;réduire les effectifs, micromiser (info);False
to drag and drop;cliquer pour déplacer (= trainer et lâcher);True
to drain;vider, évacuer;False
drawback;inconvénient;True
drive;un lecteur;True
to drive/drove/driven;commander, actionner, entraîner;True
driver;pilote, gestionnaire de périphérique;True
drop-down list;liste déroulante;True
DSP (digital signal processing);traitement numérique du signal;False
due to;dû à;True
to dump;vider;True
dump;vidage;True
each;chaque;True
to earth;relier à la terre;False
to ease;faciliter;True
edge;bord, lame;True
to edit;éditer, mettre en forme, présenter;True
effective;efficace, qui a un effet, en vigueur;True
efficient;efficace, d'un bon rendement, compétent;True
either (+ nom);l'un ou l'autre (indifféremment);True
either..., or...;soit..., soit...;True
electrical engineering;génie électrique;False
electronic;électronique (adjectif);True
electronics;électronique (nom);True
embedded into;inséré, inclus, enchâssé, embarqué;True
to empty;vider;True
